month_date,bin,job_typeid,ownership_id,borough,date_filed,date_completed,time_of_completion
2020-12-01,5172230,2,1,Staten Island,2020-08-26,2020-12-18,114
2020-12-01,5172206,2,1,Staten Island,2020-09-23,2020-12-31,99
2020-08-01,5174807,2,1,Staten Island,2020-07-20,2020-08-31,42
2020-10-01,5174857,2,1,Staten Island,2020-08-24,2020-10-19,56
2020-08-01,5028504,2,1,Staten Island,2020-07-09,2020-08-11,33
2020-09-01,5175051,2,1,Staten Island,2020-08-25,2020-09-28,34
2020-12-01,5175241,2,1,Staten Island,2020-08-25,2020-12-09,106
2021-03-01,5174962,2,1,Staten Island,2020-10-05,2021-03-01,147
2020-12-01,5175209,2,1,Staten Island,2020-10-21,2020-12-30,70
2020-12-01,5175205,2,1,Staten Island,2020-11-20,2020-12-22,32
2020-10-01,5016052,2,1,Staten Island,2020-08-14,2020-10-21,68
2020-10-01,5175010,2,1,Staten Island,2020-08-24,2020-10-05,42
2021-04-01,5172142,2,1,Staten Island,2020-12-22,2021-04-02,101
2022-03-01,5025263,2,1,Staten Island,2021-05-21,2022-03-11,294
2021-01-01,5172156,2,1,Staten Island,2020-10-15,2021-01-12,89
2021-03-01,5172120,2,1,Staten Island,2020-11-17,2021-03-25,128
2021-01-01,5175210,2,1,Staten Island,2020-09-24,2021-01-12,110
2021-10-01,5013523,2,1,Staten Island,2021-05-12,2021-10-05,146
2021-01-01,5175237,2,1,Staten Island,2020-11-25,2021-01-26,62
2021-03-01,5177078,2,1,Staten Island,2021-03-08,2021-03-22,14
2021-06-01,5172208,2,1,Staten Island,2021-06-16,2021-06-28,12
2021-02-01,5175860,2,1,Staten Island,2020-10-15,2021-02-19,127
2020-12-01,5005490,2,1,Staten Island,2020-09-28,2020-12-01,64
2021-05-01,5172165,2,1,Staten Island,2020-10-13,2021-05-20,219
2022-02-01,5172160,2,1,Staten Island,2021-04-23,2022-02-04,287
2021-07-01,5174646,1,1,Staten Island,2020-07-10,2021-07-26,381
2021-12-01,5174597,1,1,Staten Island,2020-07-14,2021-12-06,510
2021-10-01,5174688,1,1,Staten Island,2020-07-23,2021-10-05,439
2021-09-01,5174748,1,1,Staten Island,2020-07-30,2021-09-17,414
2021-08-01,5174749,1,1,Staten Island,2020-07-30,2021-08-12,378
2021-10-01,5174767,1,1,Staten Island,2020-08-04,2021-10-13,435
2021-09-01,5174800,1,1,Staten Island,2020-08-11,2021-09-13,398
2021-09-01,5174799,1,1,Staten Island,2020-08-11,2021-09-07,392
2021-10-01,5174740,1,1,Staten Island,2020-08-24,2021-10-27,429
2021-12-01,5174741,1,1,Staten Island,2020-08-25,2021-12-08,470
2021-12-01,5810325,1,1,Staten Island,2020-08-26,2021-12-21,482
2022-04-01,5174834,1,1,Staten Island,2020-08-26,2022-04-06,588
2022-04-01,5174835,1,1,Staten Island,2020-08-26,2022-04-06,588
2022-04-01,5174836,1,1,Staten Island,2020-08-26,2022-04-06,588
2022-10-01,5174828,1,1,Staten Island,2020-08-27,2022-10-18,782
2022-12-01,5174827,1,1,Staten Island,2020-08-28,2022-12-27,851
2021-11-01,5171427,1,1,Staten Island,2020-09-02,2021-11-22,446
2022-04-01,5171426,1,1,Staten Island,2020-09-09,2022-04-25,593
2022-05-01,5171425,1,1,Staten Island,2020-09-09,2022-05-04,602
2022-05-01,5171436,1,1,Staten Island,2020-09-09,2022-05-04,602
2022-04-01,5171435,1,1,Staten Island,2020-09-10,2022-04-25,592
2022-03-01,5174786,1,1,Staten Island,2020-09-14,2022-03-10,542
2022-08-01,5169180,1,1,Staten Island,2020-09-14,2022-08-25,710
2022-03-01,5174785,1,1,Staten Island,2020-09-14,2022-03-10,542
2022-03-01,5174783,1,1,Staten Island,2020-09-14,2022-03-10,542
2021-11-01,5174841,1,1,Staten Island,2020-09-16,2021-11-15,425
2021-10-01,5174917,1,1,Staten Island,2020-09-18,2021-10-01,378
2021-10-01,5055186,1,1,Staten Island,2020-09-25,2021-10-05,375
2022-10-01,5174694,1,1,Staten Island,2020-10-06,2022-10-06,730
2022-02-01,5174745,1,1,Staten Island,2020-10-07,2022-02-04,485
2022-09-01,5174795,1,1,Staten Island,2020-10-08,2022-09-01,693
2022-06-01,5174789,1,1,Staten Island,2020-10-09,2022-06-06,605
2022-09-01,5174868,1,1,Staten Island,2020-10-13,2022-09-22,709
2022-12-01,5174869,1,1,Staten Island,2020-10-13,2022-12-05,783
2022-12-01,5174872,1,1,Staten Island,2020-10-13,2022-12-12,790
2022-12-01,5174873,1,1,Staten Island,2020-10-13,2022-12-05,783
2022-04-01,5174877,1,1,Staten Island,2020-10-13,2022-04-12,546
2022-07-01,5174878,1,1,Staten Island,2020-10-13,2022-07-12,637
2022-07-01,5174879,1,1,Staten Island,2020-10-13,2022-07-12,637
2022-09-01,5174880,1,1,Staten Island,2020-10-13,2022-09-19,706
2022-09-01,5174881,1,1,Staten Island,2020-10-13,2022-09-28,715
2022-12-01,5174882,1,1,Staten Island,2020-10-13,2022-12-06,784
2022-08-01,5174884,1,1,Staten Island,2020-10-13,2022-08-23,679
2022-07-01,5174885,1,1,Staten Island,2020-10-13,2022-07-29,654
2022-05-01,5174752,1,1,Staten Island,2020-10-15,2022-05-02,564
2022-03-01,5174751,1,1,Staten Island,2020-10-15,2022-03-07,508
2022-05-01,5174754,1,1,Staten Island,2020-10-15,2022-05-02,564
2022-04-01,5174825,1,1,Staten Island,2020-10-18,2022-04-25,554
2021-10-01,5174782,1,1,Staten Island,2020-10-22,2021-10-27,370
2021-10-01,5174781,1,1,Staten Island,2020-10-22,2021-10-27,370
2022-06-01,5174803,1,1,Staten Island,2020-10-26,2022-06-27,609
2022-01-01,5174687,1,1,Staten Island,2020-11-06,2022-01-11,431
2021-12-01,5174703,1,1,Staten Island,2020-11-10,2021-12-16,401
2022-10-01,5174738,1,1,Staten Island,2020-11-27,2022-10-18,690
2022-10-01,5174739,1,1,Staten Island,2020-11-27,2022-10-11,683
2022-03-01,5174763,1,1,Staten Island,2020-12-03,2022-03-21,473
2022-08-01,5174914,1,1,Staten Island,2020-12-04,2022-08-09,613
2022-01-01,5174756,1,1,Staten Island,2020-12-08,2022-01-31,419
2021-11-01,5174858,1,1,Staten Island,2020-12-11,2021-11-08,332
2022-06-01,5174733,1,1,Staten Island,2020-12-16,2022-06-09,540
2022-06-01,5174731,1,1,Staten Island,2020-12-16,2022-06-23,554
2022-06-01,5174729,1,1,Staten Island,2020-12-16,2022-06-24,555
